,,nDCG,nDCL,nDCG,nDCL,nDCG,nDCL,nDCG,nDCL,nDCG,nDCL,nDCG,nDCL
,,BPRMF,BPRMF,WRMF,WRMF,SVD,SVD,CoFFee,CoFFee,mostpopular,mostpopular,random,random
fold,topk,,,,,,,,,,,,
3,30,0.0477545475665,0.0906318583507,0.082345228925,0.133899430906,0.0812022446068,0.147574640429,0.0474788807708,0.033600921999,0.101249567926,0.0891992539564,0.00135458967314,0.00261205692622
3,50,0.0604422672599,0.119662490701,0.0993297943081,0.170676326242,0.0987323493184,0.184251042234,0.0542999752816,0.0417777252002,0.117540200087,0.12680173518,0.00186722595243,0.00360999863812
3,70,0.0694585744633,0.140194947117,0.109521800772,0.191221877153,0.109086697299,0.20648587394,0.0589847397172,0.0471045439525,0.129764102709,0.149688000587,0.00232836464097,0.00452966349457
3,100,0.0796494631341,0.161411023086,0.119856837433,0.212888540326,0.119314504066,0.227836073665,0.064274121228,0.0538455950832,0.145557968587,0.176881804415,0.00301807691593,0.00561431539501
4,1,0.00655147309282,0.00957044276898,0.0115424196169,0.0192341206172,0.013125298846,0.0200362866701,0.0103536638675,0.00646642830717,0.0173826713125,0.0114949478585,0.000125889651944,0.000221810485663
4,2,0.00952916757299,0.0181080740464,0.0184223748694,0.0293351442098,0.0199479781837,0.0327846122555,0.0153114844356,0.00928003705622,0.0272837387554,0.0175553919706,0.000222816566651,0.000356151737732
4,3,0.012557993385,0.0233065967499,0.0238103196045,0.038464502145,0.0252191326691,0.042670924795,0.0194986152637,0.0116322961962,0.0356597518334,0.0208100735429,0.000275513258809,0.000450444529482
4,5,0.0169799560801,0.031245800861,0.031413977411,0.0519662820166,0.0340256793423,0.0571494487129,0.0251084482329,0.0158590674644,0.0470415539841,0.0295124267617,0.000410805851757,0.000729113234356
4,10,0.0248812006885,0.0463915194057,0.0462287819904,0.0751262552639,0.0488063891302,0.0844870599691,0.03297367989,0.0219762206329,0.0658718610304,0.0442670023684,0.000660913063738,0.00125800540587
4,15,0.0305611637519,0.0594589164368,0.0576446759597,0.0936448045048,0.0597651495413,0.104259422362,0.0374723376417,0.0264323137265,0.0769184447417,0.062585711014,0.000824222553967,0.00164157600514
4,20,0.0352805114315,0.069909964687,0.0661766469978,0.108662928858,0.0687340774931,0.120278787413,0.0410101394752,0.0297592390276,0.0869680446846,0.0735422448533,0.00103723583592,0.00195112710076
4,30,0.0433163876613,0.0899113920578,0.0790380734295,0.134209035151,0.0820794674815,0.147098557196,0.0462221806184,0.0351586970075,0.100732313507,0.0902078731147,0.0014034987176,0.00244705060763
4,50,0.0559659926673,0.118922802162,0.0960977709276,0.168618691335,0.0995954643468,0.183284474098,0.052942398121,0.0427340250297,0.117285686556,0.126527972692,0.00188560686611,0.0034364527893
4,70,0.0652503226721,0.139510448929,0.106336132718,0.188561269118,0.109775690912,0.204905084939,0.0576004043431,0.0484539593118,0.129903540717,0.148786951258,0.00230860148914,0.00440977028837
4,100,0.0761775885487,0.160502561577,0.116670291873,0.209882068685,0.120181821407,0.225944772349,0.0625532742826,0.0545406827551,0.145491375165,0.174904125778,0.00298918368822,0.00581099354402
5,1,0.00616893144596,0.0107848402662,0.0135037202874,0.016085500535,0.0129329088346,0.0217773731113,0.0101225368483,0.00480623885345,0.0170473217357,0.0102424847886,0.00010711942153,0.000285078460266
5,2,0.0102308424862,0.017039303434,0.0202976063747,0.0274425268338,0.0199688314544,0.0325342411519,0.015172969596,0.0075876708728,0.02707634997,0.018127316353,0.000201442889157,0.000607404010843
5,3,0.0132454906671,0.022325155692,0.0256290940778,0.0355666072705,0.0250798811135,0.0423505366302,0.0194845475198,0.0102268516209,0.0346803440852,0.0216455596494,0.000255017048679,0.000678428156698
5,5,0.0180353522019,0.0293502771977,0.0348561708064,0.0482227011825,0.0338968495615,0.0560984313921,0.0253505554398,0.0137085785711,0.0451017477217,0.0300733169324,0.000380413293995,0.000837486209004
5,10,0.0276062656523,0.0454536628672,0.0495096124142,0.0717753259953,0.0483329180595,0.0825024260722,0.0336905537556,0.0207712088237,0.0624947483987,0.0464586636771,0.00064879328698,0.00136216205185
5,15,0.0338895928773,0.0570876761529,0.0603520157512,0.0901481937902,0.0588119027062,0.10255473407,0.0381024953469,0.0251861407625,0.074995392829,0.0605036437237,0.000838863167305,0.00173881443149
5,20,0.0395727681016,0.0687082481357,0.0692728960548,0.106024129452,0.0680474934205,0.118648301234,0.0411614949828,0.0285946822448,0.0840896453118,0.071807791988,0.000982305946353,0.00204085792414
5,30,0.0481873505544,0.0869489820495,0.0828438263035,0.131938778812,0.0814774667529,0.14613223683,0.0462659321869,0.0340220955701,0.0984479676654,0.0885196691358,0.00133909177073,0.00265645723415
5,50,0.0607669747153,0.11396549366,0.0993573359924,0.165657762402,0.0983830262211,0.180027384402,0.0531485006408,0.0419587359245,0.114801872988,0.124408853558,0.0018691799101,0.00374874861905
5,70,0.0693101732995,0.133515850347,0.108991298551,0.185864576946,0.107943006556,0.200981538938,0.0576971591269,0.0473099326933,0.126468070104,0.147406915619,0.00240089652735,0.00456079459135
5,100,0.0791244456495,0.153776035659,0.119173832997,0.206951285258,0.118585827562,0.222039678198,0.06263112565,0.0538092733074,0.142555577859,0.172246793916,0.00305114917768,0.00594744413235
